Disease accession (OMIM)	Disease name (OMIM)	Gene accession (OMIM)	Gene symbol (OMIM)	Mouse ortholog (MGI)	"Known molecular basis (1=Yes, 0=No)"	"Germline aberrations (1=Yes, 0=No)"	Phenotypic series accession (OMIM)	Phenotypic series name (OMIM)	"Expressed in human tissue (1=Yes, 0=No)"	"Expressed in mouse tissue (1=Yes, 0=No)"	Inflicted tissue (ODiseA)	Human affected cell types	Mouse similar affected cell types
614493	Wiskott-aldrich Syndrome 2	602357	WIPF1	Wipf1	1	1			1	1	Yes	['nampt.neutrophil']	
614514	"Thrombophilia Due To Protein S Deficiency, Autosomal Recessive"	176880	PROS1	Pros1	1	1	PS188050	Thrombophilia	1	1	Yes		
614521	Thrombocythemia 3	147796	JAK2	Jak2	1	1	PS187950	Thrombocythemia	1	1	Yes		
614557	"Ehlers-danlos Syndrome With Progressive Kyphoscoliosis, Myopathy,and Hearing Loss"	614505	FKBP14	Fkbp14	1	1	PS130000	Ehlers-Danlos syndrome	1	0			
614576	"Congenital Disorder Of Glycosylation, Type Iil"	606977	COG6	Cog6	1	1	PS212066	"Congenital disorders of glycosylation, type II"	1	1	Yes		
614675	"Bone Marrow Failure, Familial"	602122	SRP72	Srp72	1	1	PS614675	Bone marrow failure syndrome	1	1	Yes		
614700	"Immunodeficiency, Common Variable, 8, With Autoimmunity"	606453	LRBA	Lrba	1	1	PS607594	"Immunodeficiency, common variable"	1	1	Yes		
614727	"Congenital Disorder Of Glycosylation, Type Iik"	614726	TMEM165	Tmem165	1	1	PS212066	"Congenital disorders of glycosylation, type II"	1	1	Yes		
614739	"3-@methylglutaconic Aciduria With Deafness, Encephalopathy, And Leigh-likesyndrome"	614725	SERAC1	Serac1	1	1	PS250950	3-Methylglutaconic aciduria	0	0			
614742	"Pulmonary Fibrosis And/or Bone Marrow Failure, Telomere-related, 1"	187270	TERT	Tert	1	1	PS614742	"Pulmonary fibrosis and/or bone marrow failure, telomere-related"	0	0		['erythrocyte']	
614743	"Pulmonary Fibrosis And/or Bone Marrow Failure, Telomere-related, 2"	602322	TERC		1	1	PS614742	"Pulmonary fibrosis and/or bone marrow failure, telomere-related"	0	0		['erythrocyte']	
614816	"Loeys-dietz Syndrome, Type 4"	190220	TGFB2	Tgfb2	1	1	PS609192	Loeys-Dietz syndrome	0	0			
614857	"Methylmalonic Aciduria And Homocystinuria, Cblj Type"	603214	ABCD4	Abcd4	1	1			1	0	Yes		
614868	"T-cell Immunodeficiency, Recurrent Infections, And Autoimmunity Withor Without Cardiac Malformations"	604965	STK4	Stk4	1	1			1	1	Yes		
614900	Diamond-blackfan Anemia 11	603704	RPL26	Rpl26	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
614921	"Congenital Disorder Of Glycosylation, Type It"	171900	PGM1	Pgm1	1	1	PS212065	"Congenital disorders of glycosylation, type I"	1	1	No		
614946	Combined Oxidative Phosphorylation Deficiency 14	611592	FARS2	Fars2	1	1	PS609060	Combined oxidative phosphorylation deficiency	1	1	Yes		
614979	"Splenomegaly, Cytopenia, And Vision Loss"	607347	ALPK1	Alpk1	1	1			1	0			
615008	"Nephrotic Syndrome, Type 7"	601440	DGKE	Dgke	1	1	PS235400	Hemolytic uremic syndrome	1	0	Yes	['hematopoietic.stem.cell']	
615008	"Nephrotic Syndrome, Type 7"	601440	DGKE	Dgke	1	1	PS256300	Nephrotic syndrome	1	0	Yes		
615010	Aicardi-goutieres Syndrome 6	146920	ADAR	Adar	1	1	PS225750	Aicardi-Goutieres syndrome	1	1	Yes		
615085	"Osteopetrosis, Autosomal Recessive 8"	614780	SNX10	Snx10	1	1	PS259700	"Osteopetrosis, autosomal recessive"	1	1	Yes		
615122	Lymphoproliferative Syndrome 2	186711	CD27	Cd27	1	1	PS308240	Lymphoproliferative syndrome	1	1	Yes		
615190	"Dyskeratosis Congenita, Autosomal Recessive 5"	608833	RTEL1	Rtel1	1	1	PS127550	Dyskeratosis congenita	0	0	Yes		
615193	"Bleeding Disorder, Platelet-type, 15"	102575	ACTN1	Actn1	1	1	PS231200	"Bleeding disorder, platelet-type"	1	1	Yes		
615214	"Agammaglobulinemia 7, Autosomal Recessive"	171833	PIK3R1	Pik3r1	1	1	PS601495	Agammaglobulinemia	1	1	Yes		
615234	"Anemia, Hypochromic Microcytic, With Iron Overload 2"	609671	STEAP3	Steap3	1	1	PS206100	"Anemia, hypochromic microcytic, with iron overload"	1	1	Yes		
615272	"Fanconi Anemia, Complementation Group Q"	133520	ERCC4	Ercc4	1	1	PS227650	Fanconi anemia	1	0	Yes		
615285	"Neutropenia, Severe Congenital, 5, Autosomal Recessive"	610035	VPS45	Vps45	1	1	PS202700	"Neutropenia, severe congenital"	1	1	Yes		
615368	Lethal Congenital Contracture Syndrome 5	602378	DNM2	Dnm2	1	1	PS253310	Lethal congenital contracture syndrome	1	1	No		
615387	T-cell Receptor-alpha/beta Deficiency	186880	TRAC		1	1	PS300755	Immunodeficiency (Select Examples)	1	0			
615399	Paroxysmal Nocturnal Hemoglobinuria 2	610272	PIGT	Pigt	1	1	PS300818	Paroxysmal nocturnal hemoglobinuria	1	1	Yes		
615401	Immunodeficiency 8	605000	CORO1A	Coro1a	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
615438	Infantile Liver Failure Syndrome 1	151350	LARS1	Lars	1	1	PS615438	Infantile liver failure syndrome	0	1			
615471	Mitochondrial Dna Depletion Syndrome 13 (encephalomyopathic Type)	605654	FBXL4	Fbxl4	1	1	PS603041	Mitochondrial DNA depletion syndrome	1	0	Yes	['nk.cell']	
615486	Interstitial Lung And Liver Disease	156560	MARS1	Mars1	1	1			0	0			
615506	"Telangiectasia, Hereditary Hemorrhagic, Type 5"	605120	GDF2	Gdf2	1	1	PS187300	"Telangiectasia, hereditary hemorrhagic"	0	0		['erythroid.progenitor']	
615512	Triosephosphate Isomerase Deficiency	190450	TPI1	Tpi1	1	1			1	1	Yes		
615513	Immunodeficiency 14	602839	PIK3CD	Pik3cd	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
615518	Immunodeficiency 13	604011	UNC119	Unc119	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
615550	Diamond-blackfan Anemia 12	604174	RPL15	Rpl15	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
615555	Hyperprolactinemia	176761	PRLR	Prlr	1	1			0	1	No		
615558	"Hypobetalipoproteinemia, Familial, 1"	107730	APOB	Apob	1	1			0	0			
615559	"Autoimmune Lymphoproliferative Syndrome, Type Iii"	176977	PRKCD	Prkcd	1	1			1	1	Yes	['nampt.neutrophil']	
615578	Combined Oxidative Phosphorylation Deficiency 18	615564	SFXN4	Sfxn4	1	1	PS609060	Combined oxidative phosphorylation deficiency	1	0			
615582	Loeys-dietz Syndrome 5	190230	TGFB3	Tgfb3	1	1	PS609192	Loeys-Dietz syndrome	0	0			
615593	Immunodeficiency 16	600315	TNFRSF4	Tnfrsf4	1	1	PS300755	Immunodeficiency (Select Examples)	1	0	Yes		
615597	"Congenital Disorder Of Glycosylation, Type Ix"	608605	STT3B	Stt3b	1	1	PS212065	"Congenital disorders of glycosylation, type I"	1	1	Yes		
615607	Immunodeficiency 17	186740	CD3G	Cd3g	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
615615	Immunodeficiency 18	186830	CD3E	Cd3e	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
615617	Immunodeficiency 19	186790	CD3D	Cd3d	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
615631	"Anemia, Congenital Dyserythropoietic, Type Ib"	615626	CDIN1	Cdin1	1	1	PS224120	"Anemia, congenital dyserythropoietic"	0	0	Yes		
615688	"Vasculitis, Autoinflammation, Immunodeficiency, And Hematologic Defects Syndrome"	607575	ADA2		1	1			1	0			
615715	Bone Marrow Failure Syndrome 2	615667	ERCC6L2	Ercc6l2	1	1	PS614675	Bone marrow failure syndrome	1	0	Yes		
615758	Immunodeficiency 22	153390	LCK	Lck	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
615789	Short Stature With Microcephaly And Distinctive Facies	604594	CRIPT	Cript	1	1			1	1	Yes		
615816	Immunodeficiency 23	172100	PGM3	Pgm3	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
615838	"Mitochondrial Complex Iii Deficiency, Nuclear Type 8"	615831	LYRM7	Lyrm7	1	1	PS124000	"Mitochondrial complex III deficiency, nuclear type"	1	0			
615846	Aicardi-goutieres Syndrome 7	606951	IFIH1	Ifih1	1	1	PS225750	Aicardi-Goutieres syndrome	1	1	Yes		
615888	"Bleeding Disorder, Platelet-type, 18"	605577	RASGRP2	Rasgrp2	1	1	PS231200	"Bleeding disorder, platelet-type"	1	1	Yes		
615897	Immunodeficiency 24	123860	CTPS1	Ctps	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
615909	Diamond-blackfan Anemia 13	603633	RPS29	Rps29	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
615934	"Sting-associated Vasculopathy, Infantile-onset"	612374	STING1	Sting1	1	1			0	0			
615952	"Autoimmune Disease, Multisystem, Infantile-onset, 1"	102582	STAT3	Stat3	1	1	PS615952	"Autoimmune disease, multisystem, infantile-onset"	1	1	Yes		
616005	Immunodeficiency 36	171833	PIK3R1	Pik3r1	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
616022	"Neutropenia, Severe Congenital, 6, Autosomal Recessive"	616012	JAGN1	Jagn1	1	1	PS202700	"Neutropenia, severe congenital"	1	1	Yes		
616028	Adams-oliver Syndrome 5	190198	NOTCH1	Notch1	1	1	PS100300	Adams-Oliver syndrome	1	1	No		
616050	Autoinflammation With Infantile Enterocolitis	606831	NLRC4	Nlrc4	1	1			1	0			
616084	"Sideroblastic Anemia With B-cell Immunodeficiency, Periodic Fevers, And Developmental Delay"	612907	TRNT1	Trnt1	1	1			1	1	Yes		
616100	"Autoimmune Lymphoproliferative Syndrome, Type V"	123890	CTLA4	Ctla4	1	1			1	1	Yes	['cd4.positive..alpha.beta.t.cell']	
616176	"Bleeding Disorder, Platelet-type, 19"	176893	PRKACG		1	1	PS231200	"Bleeding disorder, platelet-type"	0	0			
616216	Thrombocytopenia 5	600618	ETV6	Etv6	1	1	PS313900	Thrombocytopenia	1	1	Yes		
616271	"3-@methylglutaconic Aciduria With Cataracts, Neurologic Involvement,and Neutropenia"	616254	CLPB	Clpb	1	1	PS250950	3-Methylglutaconic aciduria	1	1	Yes		
616278	"Bile Acid Synthesis Defect, Congenital, 5"	170995	ABCD3	Abcd3	1	1	PS607765	"Bile acid synthesis defect, congenital"	1	1	Yes		
616414	"Autoimmune Interstitial Lung, Joint, And Kidney Disease"	601924	COPA	Copa	1	1			1	1	NA		
616433	Immunodeficiency 40	603122	DOCK2	Dock2	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
616435	"Fanconi Anemia, Complementation Group T"	610538	UBE2T	Ube2t	1	1	PS227650	Fanconi anemia	1	1	Yes		
616452	B-cell Expansion With Nfkb And T-cell Anergy	607210	CARD11	Card11	1	1			1	1	Yes	['nk.cell']	
616457	"Congenital Disorder Of Glycosylation, Type Iz"	114010	CAD	Cad	1	1	PS308350	Developmental and epileptic encephalopathy	1	1	Yes	"['erythroid.progenitor', 'myeloid.progenitor']"	['precursor.B.cell']
616483	Infantile Liver Failure Syndrome 2	608025	NBAS	Nbas	1	1	PS615438	Infantile liver failure syndrome	1	1	No		
616507	"Osteogenesis Imperfecta, Type Xvii"	182120	SPARC	Sparc	1	1	PS166200	Osteogenesis imperfecta	1	0			
616541	"Short Stature, Microcephaly, And Endocrine Dysfunction"	194363	XRCC4	Xrcc4	1	1			1	1	Yes		
616553	"Dyskeratosis Congenita, Autosomal Dominant 6"	609377	ACD	Acd	1	1	PS127550	Dyskeratosis congenita	1	1	Yes		
616568	Glioma Susceptibility 9	606478	POT1	Pot1a	1	1	PS137800	Glioma	1	1	No		
616576	"Immunodeficiency, Common Variable, 12"	164011	NFKB1	Nfkb1	1	1	PS607594	"Immunodeficiency, common variable"	1	1	Yes		
616577	"Epilepsy, Hearing Loss, And Mental Retardation Syndrome"	613940	SPATA5	Spata5	1	1			1	1	Yes		
616638	Smith-kingsmore Syndrome	601231	MTOR	Mtor	1	1			1	1	Yes		
616649	"Spherocytosis, Type 2"	182870	SPTB	Sptb	1	1			1	0			
616651	Roifman Syndrome	601428	RNU4ATAC		1	1			0	0			
616689	Dehydrated Hereditary Stomatocytosis 2	602754	KCNN4	Kcnn4	1	1			1	1	Yes	['erythroid.progenitor']	['proerythroblast']
616737	Takenouchi-kosaki Syndrome	116952	CDC42		1	1			1	0			
616738	Radioulnar Synostosis With Amegakaryocytic Thrombocytopenia 2	165215	MECOM	Mecom	1	1	PS605432	Radioulnar synostosis with amegakaryocytic thrombocytopenia	1	0			
616740	Immunodeficiency 46	190010	TFRC	Tfrc	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
616744	"Autoinflammatory Syndrome, Familial, Behcet-like"	191163	TNFAIP3	Tnfaip3	1	1			1	1	NA		
616843	"Lymphedema, Hereditary, Iii"	611184	PIEZO1	Piezo1	1	1	PS153100	Lymphatic malformation	1	0			
616860	"Anemia, Sideroblastic, 3, Pyridoxine-refractory"	609588	GLRX5	Glrx5	1	1	PS300751	"Anemia, Sideroblastic"	1	1	Yes	['erythrocyte']	['erythroblast']
616871	"Myeloproliferative/lymphoproliferative Neoplasms, Familial (multiple Types), Susceptibility To"	608170	DDX41	Ddx41	1	1			1	1	Yes		
616873	"Immunodeficiency, Common Variable, 13"	603023	IKZF1	Ikzf1	1	1	PS607594	"Immunodeficiency, common variable"	1	1	Yes		
616913	"Bleeding Disorder, Platelet-type, 20"	614958	SLFN14	Slfn14	1	1	PS231200	"Bleeding disorder, platelet-type"	1	0	Yes		
616914	Marfan Lipodystrophy Syndrome	134797	FBN1	Fbn1	1	1			1	0			
616937	Thrombocytopenia 6	190090	SRC	Src	1	1	PS313900	Thrombocytopenia	0	0			
616941	"Agammaglobulinemia 8, Autosomal Dominant"	147141	TCF3	Tcf3	1	1	PS601495	Agammaglobulinemia	1	1	Yes		
616949	"Spinocerebellar Ataxia, Autosomal Recessive 23"	605764	TDP2	Tdp2	1	1	PS213200	"Spinocerebellar ataxia, autosomal recessive"	1	1	Yes	['nampt.neutrophil']	
616959	Retinitis Pigmentosa And Erythrocytic Microcytosis	612907	TRNT1	Trnt1	1	1			1	1	Yes		
617006	"Autoimmune Disease, Multisystem, Infantile-onset, 2"	176947	ZAP70	Zap70	1	1	PS615952	"Autoimmune disease, multisystem, infantile-onset"	1	1	Yes		
617014	"Neutropenia, Severe Congenital, 7, Autosomal Recessive"	138971	CSF3R	Csf3r	1	1	PS202700	"Neutropenia, severe congenital"	1	1	Yes		
617021	"Hydrops, Lactic Acidosis, And Sideroblastic Anemia"	604544	LARS2	Lars2	1	1			0	1	Yes		
617049	"Cholestasis, Progressive Familial Intrahepatic, 5"	603826	NR1H4	Nr1h4	1	1	PS211600	"Cholestasis, progressive familial intrahepatic"	0	0			
617050	Hermansky-pudlak Syndrome 10	607246	AP3D1	Ap3d1	1	1	PS203300	Hermansky-Pudlak syndrome	1	1	Yes		
617052	Bone Marrow Failure Syndrome 3	617048	DNAJC21	Dnajc21	1	1	PS614675	Bone marrow failure syndrome	1	1	Yes		
617053	Mirage Syndrome	610456	SAMD9		1	1			1	0			
617056	"Hyperuricemic Nephropathy, Familial Juvenile, 4"	609213	SEC61A1	Sec61a1	1	1	PS162000	Tubulointerstitial kidney disease	1	1	Yes	['plasma.cell']	['plasma.cell']
617099	"Autoinflammation, Panniculitis, And Dermatosis Syndrome"	615712	OTULIN	Otulin	1	1			1	0			
617156	Mitochondrial Dna Depletion Syndrome 15 (hepatocerebral Type)	600438	TFAM	Tfam	1	1	PS603041	Mitochondrial DNA depletion syndrome	1	1	No	['nk.cell']	
617174	"Ehlers-danlos Syndrome, Periodontal Type, 2"	120580	C1S	C1s2	1	1	PS130000	Ehlers-Danlos syndrome	0	0			
617174	"Ehlers-danlos Syndrome, Periodontal Type, 2"	120580	C1S	C1s1	1	1	PS130000	Ehlers-Danlos syndrome	0	0			
617237	Immunodeficiency 49	606558	BCL11B	Bcl11b	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
617241	"Lung Disease, Immunodeficiency, And Chromosome Breakage Syndrome"	608243	NSMCE3	Nsmce3	1	1			1	0			
617243	"Fanconi Anemia, Complementation Group V"	604094	MAD2L2	Mad2l2	1	1	PS227650	Fanconi anemia	1	1	Yes		
617248	"3-methylglutaconic Aciduria, Type Viii"	606441	HTRA2	Htra2	1	1	PS250950	3-Methylglutaconic aciduria	1	1	Yes		
617253	Seckel Syndrome 10	617246	NSMCE2	Nsmce2	1	1	PS210600	Seckel syndrome	1	1	No		
617300	"Hydrops Fetalis, Nonimmune, And/or Atrial Septal Defect, Susceptibility To"	600011	EPHB4	Ephb4	1	1	PS153100	Lymphatic malformation	1	0			
617303	Mucopolysaccharidosis-plus Syndrome	610034	VPS33A	Vps33a	1	1			1	1	Yes		
617341	Cerebroretinal Microangiopathy With Calcifications And Cysts 2	613128	STN1	Stn1	1	1	PS612199	Cerebroretinal microangiopathy with calcfications and cysts	1	0			
617388	Autoinflammation With Arthritis And Dyskeratosis	606636	NLRP1	Nlrp1b	1	1			1	0			
617397	Pseudo-torch Syndrome 2	607057	USP18	Usp18	1	1	PS251290	Pseudo-TORCH syndrome	0	1	Yes		
617408	Diamond-blackfan Anemia 16	607526	RPL27	Rpl27	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
617409	Diamond-blackfan Anemia 17	603702	RPS27		1	1	PS105650	Diamond-Blackfan anemia	1	0	Yes		
617425	Immunoskeletal Dysplasia With Neurodevelopmental Abnormalities	605744	EXTL3	Extl3	1	1			1	1	Yes	"['nampt.neutrophil', 'neutrophil']"	
617441	"Thrombocytopenia, Anemia, And Myelofibrosis"	606520	MPIG6B	Mpig6b	1	1			1	0			
617443	"Bleeding Disorder, Platelet-type, 21"	193067	FLI1	Fli1	1	1	PS231200	"Bleeding disorder, platelet-type"	1	1	Yes		
617475	Specific Granule Deficiency 2	601736	SMARCD2	Smarcd2	1	1	PS245480	Specific granule deficiency	1	1	Yes	['cd24.neutrophil']	
617514	Immunodeficiency 52	602354	LAT	Lat	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
617575	"Nephrotic Syndrome, Type 14"	603729	SGPL1	Sgpl1	1	1	PS256300	Nephrotic syndrome	1	1	NA		
617591	Proteasome-associated Autoinflammatory Syndrome 3	602177	PSMB4	Psmb4	1	1	PS256040	Proteosome-associated autoinflammatory syndrome	1	1	Yes		
617591	Proteasome-associated Autoinflammatory Syndrome 3	177045	PSMB9	Psmb9	1	1	PS256040	Proteosome-associated autoinflammatory syndrome	1	1	Yes		
617638	Immunodeficiency 11b With Atopic Dermatitis	607210	CARD11	Card11	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
617718	Platelet Abnormalities With Eosinophilia And Immune-mediated Inflammatory Disease	604223	ARPC1B	Arpc1b	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
617780	Combined Immunodeficiency And Megaloblastic Anemia With Or Without Hyperhomocysteinemia	172460	MTHFD1	Mthfd1	1	1			1	1	Yes	"['erythroid.progenitor', 'myeloid.progenitor']"	['proerythroblast']
617784	"Fanconi Anemia, Complementation Group W"	614151	RFWD3	Rfwd3	1	1	PS227650	Fanconi anemia	1	1	Yes		
617821	"Ehlers-danlos Syndrome, Arthrochalasia Type, 2"	120160	COL1A2	Col1a2	1	1	PS130000	Ehlers-Danlos syndrome	0	0			
617827	Immunodeficiency 55	610608	GINS1	Gins1	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
617872	Combined Oxidative Phosphorylation Deficiency 34	611974	MRPS7	Mrps7	1	1	PS609060	Combined oxidative phosphorylation deficiency	1	1	Yes		
617883	"Fanconi Anemia, Complementation Group S"	113705	BRCA1	Brca1	1	1	PS227650	Fanconi anemia	1	1	Yes		
617907	"Erythrocytosis, Familial, 5"	133170	EPO	Epo	1	1	PS133100	"Erythrocytosis, familial"	0	0	Yes		
617911	Diamond-blackfan Anemia-like	133170	EPO	Epo	1	1			0	0			
617941	Shwachman-diamond Syndrome 2	617538	EFL1	Efl1	1	1	PS260400	Schwachman-Diamond syndrome	1	0			
617948	Elliptocytosis-3	182870	SPTB	Sptb	1	1			1	0			
618000	"Ehlers-danlos Syndrome, Classic-like, 2"	602981	AEBP1	Aebp1	1	1	PS130000	Ehlers-Danlos syndrome	1	0			
618005	Congenital Disorder Of Glycosylation With Defective Fucosylation 1	602589	FUT8	Fut8	1	1	PS618005	Congenital disorder of glycosylation with defective fucosylation	1	1	NA		
618015	"Protoporphyria, Erythropoietic, 2"	615611	CLPX	Clpx	1	1	PS177000	"Protoporphyria, erythropoietic"	1	1	Yes	['erythrocyte']	"['erythroblast', 'reticulocyte']"
618048	Proteasome-associated Autoinflammatory Syndrome 2	613386	POMP	Pomp	1	1	PS256040	Proteosome-associated autoinflammatory syndrome	1	1	Yes		
618067	"Epileptic Encephalopathy, Early Infantile, 66"	610423	PACS2	Pacs2	1	1	PS308350	Developmental and epileptic encephalopathy	1	1	NA	"['erythroid.progenitor', 'myeloid.progenitor']"	['precursor.B.cell']
618092	"Intellectual Developmental Disorder With Speech Delay, Dysmorphic Facies, And T-cell Abnormalities"	606558	BCL11B	Bcl11b	1	1			1	1	Yes	"['cd4.positive..alpha.beta.t.cell', 'cd8.positive..alpha.beta.t.cell']"	['T.cell']
618107	"Osteopetrosis, Autosomal Dominant 3"	611466	PLEKHM1	Plekhm1	1	1	PS607634	"Osteopetrosis, autosomal dominant"	1	1	Yes	"['cd24.neutrophil', 'neutrophil']"	['segmented.neutrophil.of.bone.marrow']
618116	Bone Marrow Failure Syndrome 4	612176	MYSM1	Mysm1	1	1	PS614675	Bone marrow failure syndrome	1	1	Yes		
618150	Saul-wilson Syndrome	606976	COG4	Cog4	1	1			1	1	NA		
618162	"Spondyloepimetaphyseal Dysplasia, Krakow Type"	614776	SIK3	Sik3	1	1			1	1	Yes		
618165	Bone Marrow Failure Syndrome 5	191170	TP53	Trp53	1	1	PS614675	Bone marrow failure syndrome	1	1	Yes		
618183	"Diarrhea 10, Protein-losing Enteropathy Type"	607647	PLVAP	Plvap	1	1	PS214700	"Diarrhea, congenital"	0	0			
618213	"Inflammatory Bowel Disease, Immunodeficiency, And Encephalopathy"	190180	TGFB1	Tgfb1	1	1			0	1			
618223	Vertebral Anomalies And Variable Endocrine And T-cell Dysfunction	600747	TBX2	Tbx2	1	1			0	0			
618261	Lymphoproliferative Syndrome 3	602840	CD70	Cd70	1	1	PS308240	Lymphoproliferative syndrome	1	0			
618278	"Fibrosis, Neurodegeneration, And Cerebral Angiomatosis"	618277	NHLRC2	Nhlrc2	1	1			1	1	Yes	['naive.b.cell']	
618282	"Hyper-ige Recurrent Infection Syndrome 3, Autosomal Recessive"	618269	ZNF341	Zfp341	1	1	PS147060	Hyper-IgE recurrent infection syndrome	0	0			
618307	"Epidermodysplasia Verruciformis, Susceptibility To, 4"	602037	RHOH	Rhoh	1	1	PS226400	"Epidermodysplasia verruciformis, susceptibility to"	1	1	NA		
618309	"Epidermodysplasia Verruciformis, Susceptibility To, 5"	146660	IL7	Il7	1	1	PS226400	"Epidermodysplasia verruciformis, susceptibility to"	1	0			
618310	Diamond-blackfan Anemia 18	604179	RPL18	Rpl18	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
618312	Diamond-blackfan Anemia 19	618315	RPL35	Rpl35	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
618313	Diamond-blackfan Anemia 20	603674	RPS15A	Rps15a	1	1	PS105650	Diamond-Blackfan anemia	1	1	Yes		
618321	"Encephalopathy, Progressive, Early-onset, With Brain Edema And/or Leukoencephalopathy, 2"	615910	NAXD	Naxd	1	1	PS617186	"Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy"	0	0			
618336	"Intrauterine Growth Retardation, Metaphyseal Dysplasia, Adrenal Hypoplasia Congenita, Genital Anomalies, And Immunodeficiency"	174762	POLE	Pole	1	1			1	1	Yes		
618343	Polymicrogyria With Or Without Vascular-type Ehlers-danlos Syndrome	120180	COL3A1	Col3a1	1	1			0	0			
618360	Brain Small Vessel Disease 3	617531	COLGALT1	Colgalt1	1	1	PS175780	Brain small vessel disease	1	0			
618372	"Gastrointestinal Ulceration, Recurrent, With Dysfunctional Platelets"	600522	PLA2G4A	Pla2g4a	1	1			1	1	Yes		
618394	Immunodeficiency 60	605394	BACH2	Bach2	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
618398	"T-cell Lymphoma, Subcutaneous Panniculitis-like"	606652	HAVCR2	Havcr2	1	1			1	0			
618451	"Neurodegeneration, Early-onset, With Choreoathetoid Movements And Microcytic Anemia"	147582	IREB2	Ireb2	1	1			1	1	Yes		
618459	Immunodeficiency 62	601855	ARHGEF1	Arhgef1	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
618462	"Bleeding Disorder, Platelet-type, 22"	600997	EPHB2	Ephb2	1	1	PS231200	"Bleeding disorder, platelet-type"	0	0			
618495	Immunodeficiency 63 With Lymphoproliferation And Autoimmunity	146710	IL2RB	Il2rb	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
618523	"Hyper-ige Recurrent Infection Syndrome 4, Autosomal Recessive"	600694	IL6ST	Il6st	1	1	PS147060	Hyper-IgE recurrent infection syndrome	1	1	Yes		
618534	Immunodeficiency 64	603962	RASGRP1	Rasgrp1	1	1	PS300755	Immunodeficiency (Select Examples)	1	1	Yes		
618549	"Hepatitis, Fulminant Viral, Susceptibility To"	604113	IL18BP	Il18bp	1	1			1	1	NA		
618620	Abdominal Obesity-metabolic Syndrome 4	609443	CELA2A	Cela2a	1	1	PS605552	Abdominal obesity-metabolic syndrome	0	0			
618624	Noonan Syndrome 12	600098	RRAS2	Rras2	1	1	PS163950	Noonan syndrome	1	1	Yes		
618641	Infantile Liver Failure Syndrome 3	610089	RINT1	Rint1	1	1	PS615438	Infantile liver failure syndrome	1	1	No		
618660	Hemolytic Anemia Due To Glutathione Reductase Deficiency	138300	GSR	Gsr	1	1			1	1	Yes	['cd24.neutrophil']	['segmented.neutrophil.of.bone.marrow']
618674	"Pulmonary Fibrosis And/or Bone Marrow Failure, Telomere-related, 5"	616381	ZCCHC8	Zcchc8	1	1	PS614742	"Pulmonary fibrosis and/or bone marrow failure, telomere-related"	1	1	Yes	['erythrocyte']	
618752	"Neutropenia, Severe Congenital, 8, Autosomal Dominant"	604857	SRP54	Srp54a	1	1	PS202700	"Neutropenia, severe congenital"	1	1	Yes		
618752	"Neutropenia, Severe Congenital, 8, Autosomal Dominant"	604857	SRP54	Srp54b	1	1	PS202700	"Neutropenia, severe congenital"	1	1	Yes		
618775	"Mitochondrial Complex Iii Deficiency, Nuclear Type 10"	191327	UQCRFS1	Uqcrfs1	1	1	PS124000	"Mitochondrial complex III deficiency, nuclear type"	1	1	Yes		
618795	Juvenile Arthritis	613409	LACC1	Lacc1	1	1			1	0			
618805	Triokinase And Fmn Cyclase Deficiency Syndrome	615844	TKFC	Tkfc	1	1			1	0			
618806	"T-cell Lymphopenia, Infantile, With Or Without Nail Dystrophy, Autosomal Dominant"	600838	FOXN1	Foxn1	1	1			0	0			
618811	Mitochondrial Dna Depletion Syndrome 18	607571	SLC25A21	Slc25a21	1	1	PS603041	Mitochondrial DNA depletion syndrome	1	1	No	['nk.cell']	
